Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,BMTR,EP,246100000,0,128,0,129,130,127,129,128340
2026-05-26,BMTR,XL,196700000,0,129,0,129,130,127,129,128340
2026-05-26,BMTR,DH,116800000,0,128,0,129,130,127,129,128340
2026-05-26,BMTR,CP,102400000,0,128,0,129,130,127,129,128340
2026-05-26,BMTR,ID,64500000,0,129,0,129,130,127,129,128340
2026-05-26,BMTR,NI,26500000,0,128,0,129,130,127,129,128340
2026-05-26,BMTR,HP,25000000,0,129,0,129,130,127,129,128340
2026-05-26,BMTR,OD,20000000,0,128,0,129,130,127,129,128340
2026-05-26,BMTR,YB,12800000,0,128,0,129,130,127,129,128340
2026-05-26,BMTR,AZ,8900000,0,128,0,129,130,127,129,128340
2026-05-26,BMTR,CC,0,427700000,0,129,129,130,127,129,128340
2026-05-26,BMTR,XC,0,221900000,0,128,129,130,127,129,128340
2026-05-26,BMTR,YP,0,57200000,0,128,129,130,127,129,128340
2026-05-26,BMTR,AK,0,49800000,0,128,129,130,127,129,128340
2026-05-26,BMTR,DR,0,27800000,0,128,129,130,127,129,128340
2026-05-26,BMTR,ZP,0,26800000,0,129,129,130,127,129,128340
2026-05-26,BMTR,PD,0,8000000,0,129,129,130,127,129,128340
2026-05-26,BMTR,SQ,0,6200000,0,129,129,130,127,129,128340
2026-05-26,BMTR,YU,0,4400000,0,128,129,130,127,129,128340
2026-05-26,BMTR,CD,0,1300000,0,128,129,130,127,129,128340
