Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,BNBR,XL,3800000000,0,132,0,132,141,122,126,11330000
2026-05-26,BNBR,YP,2900000000,0,135,0,132,141,122,126,11330000
2026-05-26,BNBR,AZ,1600000000,0,134,0,132,141,122,126,11330000
2026-05-26,BNBR,OD,1600000000,0,131,0,132,141,122,126,11330000
2026-05-26,BNBR,XC,1400000000,0,133,0,132,141,122,126,11330000
2026-05-26,BNBR,YJ,1200000000,0,131,0,132,141,122,126,11330000
2026-05-26,BNBR,PD,961200000,0,133,0,132,141,122,126,11330000
2026-05-26,BNBR,SQ,749000000,0,132,0,132,141,122,126,11330000
2026-05-26,BNBR,LS,630500000,0,125,0,132,141,122,126,11330000
2026-05-26,BNBR,GR,537400000,0,131,0,132,141,122,126,11330000
2026-05-26,BNBR,CP,0,5800000000,0,131,132,141,122,126,11330000
2026-05-26,BNBR,AK,0,2500000000,0,132,132,141,122,126,11330000
2026-05-26,BNBR,BK,0,2300000000,0,133,132,141,122,126,11330000
2026-05-26,BNBR,CC,0,1900000000,0,135,132,141,122,126,11330000
2026-05-26,BNBR,BQ,0,1800000000,0,131,132,141,122,126,11330000
2026-05-26,BNBR,KK,0,1400000000,0,135,132,141,122,126,11330000
2026-05-26,BNBR,BR,0,827000000,0,138,132,141,122,126,11330000
2026-05-26,BNBR,YB,0,265600000,0,131,132,141,122,126,11330000
2026-05-26,BNBR,FZ,0,217800000,0,129,132,141,122,126,11330000
2026-05-26,BNBR,HD,0,198700000,0,132,132,141,122,126,11330000
