Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-25,BUMI,XL,36300000000,0,176,0,183,184,171,171,44620000
2026-05-25,BUMI,MG,35000000000,0,177,0,183,184,171,171,44620000
2026-05-25,BUMI,CC,23900000000,0,175,0,183,184,171,171,44620000
2026-05-25,BUMI,YP,18200000000,0,176,0,183,184,171,171,44620000
2026-05-25,BUMI,PD,15400000000,0,176,0,183,184,171,171,44620000
2026-05-25,BUMI,XC,14200000000,0,176,0,183,184,171,171,44620000
2026-05-25,BUMI,SQ,12300000000,0,176,0,183,184,171,171,44620000
2026-05-25,BUMI,KK,11700000000,0,177,0,183,184,171,171,44620000
2026-05-25,BUMI,YB,10400000000,0,176,0,183,184,171,171,44620000
2026-05-25,BUMI,GR,9900000000,0,174,0,183,184,171,171,44620000
2026-05-25,BUMI,BK,0,56700000000,0,177,183,184,171,171,44620000
2026-05-25,BUMI,AK,0,56100000000,0,178,183,184,171,171,44620000
2026-05-25,BUMI,SS,0,51600000000,0,174,183,184,171,171,44620000
2026-05-25,BUMI,ZP,0,44900000000,0,176,183,184,171,171,44620000
2026-05-25,BUMI,IF,0,14100000000,0,176,183,184,171,171,44620000
2026-05-25,BUMI,BB,0,10800000000,0,172,183,184,171,171,44620000
2026-05-25,BUMI,RF,0,4500000000,0,174,183,184,171,171,44620000
2026-05-25,BUMI,MI,0,3400000000,0,174,183,184,171,171,44620000
2026-05-25,BUMI,HD,0,2300000000,0,176,183,184,171,171,44620000
2026-05-25,BUMI,YU,0,2000000000,0,175,183,184,171,171,44620000
