Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,ERAA,CC,1700000000,0,377,0,378,382,370,376,159880
2026-05-26,ERAA,ZP,559500000,0,379,0,378,382,370,376,159880
2026-05-26,ERAA,OD,251300000,0,377,0,378,382,370,376,159880
2026-05-26,ERAA,XL,47200000,0,376,0,378,382,370,376,159880
2026-05-26,ERAA,GR,30000000,0,375,0,378,382,370,376,159880
2026-05-26,ERAA,NI,10500000,0,378,0,378,382,370,376,159880
2026-05-26,ERAA,HP,9400000,0,376,0,378,382,370,376,159880
2026-05-26,ERAA,IF,7600000,0,376,0,378,382,370,376,159880
2026-05-26,ERAA,AG,6900000,0,382,0,378,382,370,376,159880
2026-05-26,ERAA,QA,3500000,0,376,0,378,382,370,376,159880
2026-05-26,ERAA,AK,0,544500000,0,378,378,382,370,376,159880
2026-05-26,ERAA,SQ,0,468100000,0,378,378,382,370,376,159880
2026-05-26,ERAA,CP,0,336700000,0,376,378,382,370,376,159880
2026-05-26,ERAA,XC,0,328900000,0,376,378,382,370,376,159880
2026-05-26,ERAA,BK,0,317600000,0,378,378,382,370,376,159880
2026-05-26,ERAA,PD,0,232800000,0,376,378,382,370,376,159880
2026-05-26,ERAA,YP,0,161500000,0,377,378,382,370,376,159880
2026-05-26,ERAA,YJ,0,41400000,0,376,378,382,370,376,159880
2026-05-26,ERAA,DH,0,30200000,0,380,378,382,370,376,159880
2026-05-26,ERAA,KK,0,25700000,0,377,378,382,370,376,159880
