Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,GPSO,CP,277000000,0,488,0,490,492,486,486,28530
2026-05-26,GPSO,XL,169800000,0,489,0,490,492,486,486,28530
2026-05-26,GPSO,DR,102500000,0,488,0,490,492,486,486,28530
2026-05-26,GPSO,SQ,54700000,0,490,0,490,492,486,486,28530
2026-05-26,GPSO,GR,38800000,0,489,0,490,492,486,486,28530
2026-05-26,GPSO,BK,17200000,0,490,0,490,492,486,486,28530
2026-05-26,GPSO,DH,10000000,0,490,0,490,492,486,486,28530
2026-05-26,GPSO,AK,5800000,0,489,0,490,492,486,486,28530
2026-05-26,GPSO,QA,600,0,490,0,490,492,486,486,28530
2026-05-26,GPSO,CC,0,213400000,0,488,490,492,486,486,28530
2026-05-26,GPSO,MG,0,154300000,0,490,490,492,486,486,28530
2026-05-26,GPSO,XC,0,69200000,0,489,490,492,486,486,28530
2026-05-26,GPSO,AO,0,61300000,0,490,490,492,486,486,28530
2026-05-26,GPSO,IU,0,49000000,0,490,490,492,486,486,28530
2026-05-26,GPSO,YP,0,41700000,0,488,490,492,486,486,28530
2026-05-26,GPSO,OD,0,19600000,0,488,490,492,486,486,28530
2026-05-26,GPSO,LG,0,19600000,0,490,490,492,486,486,28530
2026-05-26,GPSO,TP,0,16300000,0,486,490,492,486,486,28530
2026-05-26,GPSO,PD,0,10900000,0,488,490,492,486,486,28530
