Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,GULA,XA,3300000000,0,487,0,462,505,456,500,1090000
2026-05-26,GULA,SH,2500000000,0,482,0,462,505,456,500,1090000
2026-05-26,GULA,AO,1400000000,0,483,0,462,505,456,500,1090000
2026-05-26,GULA,KK,1300000000,0,497,0,462,505,456,500,1090000
2026-05-26,GULA,IU,1000000000,0,484,0,462,505,456,500,1090000
2026-05-26,GULA,DU,548200000,0,483,0,462,505,456,500,1090000
2026-05-26,GULA,EP,323000000,0,469,0,462,505,456,500,1090000
2026-05-26,GULA,AG,312600000,0,478,0,462,505,456,500,1090000
2026-05-26,GULA,PC,296500000,0,476,0,462,505,456,500,1090000
2026-05-26,GULA,AT,290200000,0,484,0,462,505,456,500,1090000
2026-05-26,GULA,BR,0,4600000000,0,488,462,505,456,500,1090000
2026-05-26,GULA,AK,0,1300000000,0,470,462,505,456,500,1090000
2026-05-26,GULA,MG,0,1300000000,0,485,462,505,456,500,1090000
2026-05-26,GULA,OD,0,841300000,0,489,462,505,456,500,1090000
2026-05-26,GULA,YP,0,835300000,0,485,462,505,456,500,1090000
2026-05-26,GULA,CC,0,825400000,0,484,462,505,456,500,1090000
2026-05-26,GULA,ZP,0,535800000,0,482,462,505,456,500,1090000
2026-05-26,GULA,PD,0,492300000,0,490,462,505,456,500,1090000
2026-05-26,GULA,TP,0,462000000,0,468,462,505,456,500,1090000
2026-05-26,GULA,IH,0,254200000,0,480,462,505,456,500,1090000
