Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,KJEN,CP,202000000,0,158,0,164,165,158,158,55640
2026-05-26,KJEN,KK,31100000,0,160,0,164,165,158,158,55640
2026-05-26,KJEN,PD,29700000,0,162,0,164,165,158,158,55640
2026-05-26,KJEN,SQ,27200000,0,159,0,164,165,158,158,55640
2026-05-26,KJEN,NI,20600000,0,160,0,164,165,158,158,55640
2026-05-26,KJEN,AZ,20400000,0,161,0,164,165,158,158,55640
2026-05-26,KJEN,BR,1600000,0,162,0,164,165,158,158,55640
2026-05-26,KJEN,ES,825000,0,162,0,164,165,158,158,55640
2026-05-26,KJEN,XA,758000,0,162,0,164,165,158,158,55640
2026-05-26,KJEN,GR,312000,0,160,0,164,165,158,158,55640
2026-05-26,KJEN,XL,0,90000000,0,160,164,165,158,158,55640
2026-05-26,KJEN,CC,0,71900000,0,162,164,165,158,158,55640
2026-05-26,KJEN,YP,0,31500000,0,159,164,165,158,158,55640
2026-05-26,KJEN,TP,0,27700000,0,160,164,165,158,158,55640
2026-05-26,KJEN,MG,0,24600000,0,158,164,165,158,158,55640
2026-05-26,KJEN,YB,0,16100000,0,159,164,165,158,158,55640
2026-05-26,KJEN,AK,0,14900000,0,162,164,165,158,158,55640
2026-05-26,KJEN,AT,0,14200000,0,162,164,165,158,158,55640
2026-05-26,KJEN,OD,0,13500000,0,161,164,165,158,158,55640
2026-05-26,KJEN,BQ,0,13400000,0,160,164,165,158,158,55640
