Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,KOTA,CC,1300000000,0,111,0,116,121,104,105,2320000
2026-05-26,KOTA,CP,1200000000,0,110,0,116,121,104,105,2320000
2026-05-26,KOTA,AK,771000000,0,112,0,116,121,104,105,2320000
2026-05-26,KOTA,XA,383200000,0,114,0,116,121,104,105,2320000
2026-05-26,KOTA,SQ,214100000,0,116,0,116,121,104,105,2320000
2026-05-26,KOTA,XC,158700000,0,113,0,116,121,104,105,2320000
2026-05-26,KOTA,YP,149300000,0,113,0,116,121,104,105,2320000
2026-05-26,KOTA,AO,106900000,0,110,0,116,121,104,105,2320000
2026-05-26,KOTA,QA,84200000,0,109,0,116,121,104,105,2320000
2026-05-26,KOTA,PG,54800000,0,109,0,116,121,104,105,2320000
2026-05-26,KOTA,XL,0,2500000000,0,112,116,121,104,105,2320000
2026-05-26,KOTA,DH,0,525400000,0,110,116,121,104,105,2320000
2026-05-26,KOTA,PD,0,249100000,0,111,116,121,104,105,2320000
2026-05-26,KOTA,LG,0,247900000,0,108,116,121,104,105,2320000
2026-05-26,KOTA,TP,0,202000000,0,114,116,121,104,105,2320000
2026-05-26,KOTA,ZP,0,156300000,0,112,116,121,104,105,2320000
2026-05-26,KOTA,YB,0,140600000,0,110,116,121,104,105,2320000
2026-05-26,KOTA,NI,0,116700000,0,111,116,121,104,105,2320000
2026-05-26,KOTA,BQ,0,91500000,0,113,116,121,104,105,2320000
2026-05-26,KOTA,MG,0,64400000,0,117,116,121,104,105,2320000
