Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-25,MBMA,PD,22800000000,0,487,0,486,510,472,496,3770000
2026-05-25,MBMA,CC,13100000000,0,493,0,486,510,472,496,3770000
2026-05-25,MBMA,NI,6200000000,0,491,0,486,510,472,496,3770000
2026-05-25,MBMA,OD,4100000000,0,488,0,486,510,472,496,3770000
2026-05-25,MBMA,ZP,3100000000,0,493,0,486,510,472,496,3770000
2026-05-25,MBMA,BK,2100000000,0,495,0,486,510,472,496,3770000
2026-05-25,MBMA,TP,1900000000,0,498,0,486,510,472,496,3770000
2026-05-25,MBMA,AZ,1100000000,0,488,0,486,510,472,496,3770000
2026-05-25,MBMA,RF,480000000,0,480,0,486,510,472,496,3770000
2026-05-25,MBMA,SQ,425000000,0,492,0,486,510,472,496,3770000
2026-05-25,MBMA,AK,0,17600000000,0,488,486,510,472,496,3770000
2026-05-25,MBMA,LG,0,12600000000,0,490,486,510,472,496,3770000
2026-05-25,MBMA,RX,0,6200000000,0,496,486,510,472,496,3770000
2026-05-25,MBMA,MG,0,4800000000,0,492,486,510,472,496,3770000
2026-05-25,MBMA,KK,0,3100000000,0,493,486,510,472,496,3770000
2026-05-25,MBMA,GR,0,2600000000,0,494,486,510,472,496,3770000
2026-05-25,MBMA,SS,0,2400000000,0,480,486,510,472,496,3770000
2026-05-25,MBMA,YP,0,2000000000,0,492,486,510,472,496,3770000
2026-05-25,MBMA,XL,0,1700000000,0,488,486,510,472,496,3770000
2026-05-25,MBMA,XA,0,1100000000,0,489,486,510,472,496,3770000
