Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,MDKA,YU,199500000000,0,2768,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,DH,4100000000,0,2751,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,OD,3400000000,0,2772,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,KK,1600000000,0,2751,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,YB,1600000000,0,2756,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,LG,1500000000,0,2767,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,AZ,782500000,0,2769,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,MG,634100000,0,2755,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,BR,560000000,0,2800,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,TP,533000000,0,2753,0,2850,2850,2720,2720,1040000
2026-05-26,MDKA,CC,0,102300000000,0,2759,2850,2850,2720,2720,1040000
2026-05-26,MDKA,KZ,0,29600000000,0,2747,2850,2850,2720,2720,1040000
2026-05-26,MDKA,AK,0,25700000000,0,2779,2850,2850,2720,2720,1040000
2026-05-26,MDKA,ZP,0,17900000000,0,2763,2850,2850,2720,2720,1040000
2026-05-26,MDKA,PD,0,12300000000,0,2800,2850,2850,2720,2720,1040000
2026-05-26,MDKA,DX,0,7500000000,0,2751,2850,2850,2720,2720,1040000
2026-05-26,MDKA,XC,0,5500000000,0,2804,2850,2850,2720,2720,1040000
2026-05-26,MDKA,BK,0,3900000000,0,2774,2850,2850,2720,2720,1040000
2026-05-26,MDKA,BQ,0,2200000000,0,2764,2850,2850,2720,2720,1040000
2026-05-26,MDKA,XL,0,2200000000,0,2792,2850,2850,2720,2720,1040000
