Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-25,MPOW,BQ,124600000,0,116,0,114,120,113,120,195400
2026-05-25,MPOW,NI,106000000,0,116,0,114,120,113,120,195400
2026-05-25,MPOW,XL,61000000,0,117,0,114,120,113,120,195400
2026-05-25,MPOW,AI,56400000,0,114,0,114,120,113,120,195400
2026-05-25,MPOW,BK,22700000,0,119,0,114,120,113,120,195400
2026-05-25,MPOW,MG,20300000,0,120,0,114,120,113,120,195400
2026-05-25,MPOW,KK,18400000,0,118,0,114,120,113,120,195400
2026-05-25,MPOW,ZP,12900000,0,114,0,114,120,113,120,195400
2026-05-25,MPOW,XC,8100000,0,116,0,114,120,113,120,195400
2026-05-25,MPOW,CP,7500000,0,116,0,114,120,113,120,195400
2026-05-25,MPOW,OD,0,106100000,0,115,114,120,113,120,195400
2026-05-25,MPOW,CC,0,77300000,0,116,114,120,113,120,195400
2026-05-25,MPOW,AK,0,75200000,0,117,114,120,113,120,195400
2026-05-25,MPOW,PD,0,67600000,0,117,114,120,113,120,195400
2026-05-25,MPOW,YP,0,49200000,0,118,114,120,113,120,195400
2026-05-25,MPOW,TP,0,32100000,0,116,114,120,113,120,195400
2026-05-25,MPOW,DH,0,17800000,0,118,114,120,113,120,195400
2026-05-25,MPOW,YB,0,10300000,0,120,114,120,113,120,195400
2026-05-25,MPOW,SQ,0,4900000,0,114,114,120,113,120,195400
2026-05-25,MPOW,IF,0,3300000,0,118,114,120,113,120,195400
