Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,PADI,YP,795500000,0,88,0,87,91,85,85,1800000
2026-05-26,PADI,CC,693300000,0,87,0,87,91,85,85,1800000
2026-05-26,PADI,LG,460300000,0,85,0,87,91,85,85,1800000
2026-05-26,PADI,SQ,206900000,0,87,0,87,91,85,85,1800000
2026-05-26,PADI,KK,113000000,0,88,0,87,91,85,85,1800000
2026-05-26,PADI,EP,80100000,0,88,0,87,91,85,85,1800000
2026-05-26,PADI,XC,42500000,0,87,0,87,91,85,85,1800000
2026-05-26,PADI,AK,40400000,0,89,0,87,91,85,85,1800000
2026-05-26,PADI,BQ,39800000,0,87,0,87,91,85,85,1800000
2026-05-26,PADI,ZP,22700000,0,87,0,87,91,85,85,1800000
2026-05-26,PADI,MG,0,582700000,0,90,87,91,85,85,1800000
2026-05-26,PADI,XL,0,565000000,0,88,87,91,85,85,1800000
2026-05-26,PADI,NI,0,532500000,0,87,87,91,85,85,1800000
2026-05-26,PADI,PD,0,224700000,0,87,87,91,85,85,1800000
2026-05-26,PADI,DH,0,150800000,0,86,87,91,85,85,1800000
2026-05-26,PADI,OD,0,148700000,0,88,87,91,85,85,1800000
2026-05-26,PADI,GR,0,143500000,0,88,87,91,85,85,1800000
2026-05-26,PADI,AT,0,79100000,0,88,87,91,85,85,1800000
2026-05-26,PADI,YU,0,40200000,0,86,87,91,85,85,1800000
2026-05-26,PADI,AZ,0,21600000,0,87,87,91,85,85,1800000
