Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-25,TOOL,OD,136700000,0,75,0,76,78,74,75,184900
2026-05-25,TOOL,MG,99300000,0,75,0,76,78,74,75,184900
2026-05-25,TOOL,SA,65800000,0,77,0,76,78,74,75,184900
2026-05-25,TOOL,XL,50800000,0,76,0,76,78,74,75,184900
2026-05-25,TOOL,AZ,28200000,0,76,0,76,78,74,75,184900
2026-05-25,TOOL,AO,7300000,0,75,0,76,78,74,75,184900
2026-05-25,TOOL,EP,6300000,0,74,0,76,78,74,75,184900
2026-05-25,TOOL,LS,5700000,0,75,0,76,78,74,75,184900
2026-05-25,TOOL,TP,3800000,0,75,0,76,78,74,75,184900
2026-05-25,TOOL,RO,2200000,0,75,0,76,78,74,75,184900
2026-05-25,TOOL,KK,0,136300000,0,75,76,78,74,75,184900
2026-05-25,TOOL,BQ,0,73500000,0,76,76,78,74,75,184900
2026-05-25,TOOL,AK,0,48400000,0,76,76,78,74,75,184900
2026-05-25,TOOL,YP,0,45100000,0,76,76,78,74,75,184900
2026-05-25,TOOL,CP,0,37400000,0,76,76,78,74,75,184900
2026-05-25,TOOL,XC,0,30800000,0,76,76,78,74,75,184900
2026-05-25,TOOL,SQ,0,13200000,0,75,76,78,74,75,184900
2026-05-25,TOOL,NI,0,7000000,0,75,76,78,74,75,184900
2026-05-25,TOOL,XA,0,4900000,0,75,76,78,74,75,184900
2026-05-25,TOOL,GR,0,3400000,0,75,76,78,74,75,184900
