Date,Stock,Broker,Buy Value,Sell Value,Buy Avg,Sell Avg,Open,High,Low,Close,Volume
2026-05-26,VKTR,TP,1700000000,0,709,0,720,745,695,705,239080
2026-05-26,VKTR,XL,723000000,0,713,0,720,745,695,705,239080
2026-05-26,VKTR,KI,555500000,0,709,0,720,745,695,705,239080
2026-05-26,VKTR,DH,457100000,0,717,0,720,745,695,705,239080
2026-05-26,VKTR,RO,303800000,0,742,0,720,745,695,705,239080
2026-05-26,VKTR,IF,220000000,0,710,0,720,745,695,705,239080
2026-05-26,VKTR,YP,183100000,0,713,0,720,745,695,705,239080
2026-05-26,VKTR,AZ,123600000,0,731,0,720,745,695,705,239080
2026-05-26,VKTR,XA,104800000,0,722,0,720,745,695,705,239080
2026-05-26,VKTR,SQ,93400000,0,734,0,720,745,695,705,239080
2026-05-26,VKTR,CC,0,1100000000,0,708,720,745,695,705,239080
2026-05-26,VKTR,MG,0,954800000,0,725,720,745,695,705,239080
2026-05-26,VKTR,PD,0,760900000,0,715,720,745,695,705,239080
2026-05-26,VKTR,AK,0,645400000,0,722,720,745,695,705,239080
2026-05-26,VKTR,LG,0,608300000,0,707,720,745,695,705,239080
2026-05-26,VKTR,BK,0,228400000,0,705,720,745,695,705,239080
2026-05-26,VKTR,CD,0,106500000,0,710,720,745,695,705,239080
2026-05-26,VKTR,CP,0,95500000,0,719,720,745,695,705,239080
2026-05-26,VKTR,YB,0,78200000,0,716,720,745,695,705,239080
2026-05-26,VKTR,ZP,0,75900000,0,718,720,745,695,705,239080
